description,keywords,name,no_of_reviews,price,published_date,ratings,url,max_no_weeks_on_list,price_numeric,ratings_numeric,class_text,polarity_score
Book 3 of the Fitz and the Fool trilogy.,"['robin', 'hobb', 'ending', 'conclusion', 'bee', 'sad', 'fantasy', 'final', 'fitting', 'journey', 'nighteyes', 'farseer', 'satisfying', 'cried', 'previous', 'heart', 'rain', 'tears', 'tale', 'hobbs']",ASSASSIN'S FATE,876,"['Hardcover', '$21.35', '69', 'Used', 'from', '$6.01', '54', 'New', 'from', '$21.10', '2', 'Collectible', 'from', '$27.00', 'Paperback', '$8.39', '8', 'Used', 'from', '$8.39', '24', 'New', 'from', '$8.39', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-05-28,4.8 out of 5 s,https://www.amazon.com/Assassins-Fate-Book-Fitz-trilogy-ebook/dp/B01GYPQRYM?tag=NYTBS-20,1,21.35,4.8,,0
"A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.","['crichton', 'michael', 'west', 'historical', 'fiction', 'jurassic', 'park', 'adventure', 'dinosaur', 'wild', 'western', 'published', 'enjoyable', 'johnson', 'early', 'science', 'marsh', 'bones', 'paleontology', 'cope']",DRAGON TEETH,960,"['Hardcover', '$8.99', '219', 'Used', 'from', '$1.01', '72', 'New', 'from', '$8.99', '7', 'Collectible', 'from', '$10.95', 'Paperback', '$7.19', '80', 'Used', 'from', '$1.49', '59', 'New', 'from', '$7.19', '1', 'Collectible', 'from', '$18.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.70', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-09,4.0 out of 5 s,https://www.amazon.com/Dragon-Teeth-Novel-Michael-Crichton/dp/0062473352?tag=NYTBS-20,7,8.99,4,,0
A complete collection of Jack Reacher stories.,"['child', 'lee', 'collection', 'novels', 'fans', 'published', 'background', 'length', 'young', 'action', 'enjoyable', 'reads', 'tales', 'previously', 'entertaining', 'twists', 'format', 'rest', 'military', 'usual']",NO MIDDLE NAME,924,"[ 'Hardcover', '$12.49', '176', 'Used', 'from', '$1.32', '77', 'New', 'from', '$4.38', '8', 'Collectible', 'from', '$7.50']",2017-07-09,4.3 out of 5 s,https://www.amazon.com/No-Middle-Name-Complete-Collected-ebook/dp/B01MTJQFQY?tag=NYTBS-20,6,12.49,4.3,pos,0.1
Two couples form a lifelong friendship during annual reunions on one of South Carolina's barrier islands.,"['frank', 'benton', 'dorothea', 'summer', 'dbf', 'predictable', 'eliza', 'greece', 'country', 'boring', 'low', 'eve', 'become', 'south', 'lowcountry', 'enjoyable', 'kept', 'isle', 'adam', 'families']","SAME BEACH, NEXT YEAR",593,"['Hardcover', '$16.72', '204', 'Used', 'from', '$1.38', '69', 'New', 'from', '$6.90', '5', 'Collectible', 'from', '$8.00', 'Paperback', '$10.73', '132', 'Used', 'from', '$0.99', '60', 'New', 'from', '$6.73', '1', 'Collectible', 'from', '$7.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-18,4.0 out of 5 s,https://www.amazon.com/Same-Beach-Next-Year-Novel-ebook/dp/B01LL0JG3Y?tag=NYTBS-20,4,16.72,4,neg,-0.1
A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.,"['turow', 'scott', 'international', 'war', 'court', 'legal', 'hague', 'bosnia', 'roma', 'criminal', 'boring', 'boom', 'bosnian', 'slow', 'ten', 'thriller', 'sex', 'kindle', 'main', 'interest']",TESTIMONY,602,"['Hardcover', '$6.95', '241', 'Used', 'from', '$1.01', '82', 'New', 'from', '$3.88', '9', 'Collectible', 'from', '$4.13', 'Paperback', '$8.79', '74', 'Used', 'from', '$1.25', '44', 'New', 'from', '$3.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-18,3.5 out of 5 s,https://www.amazon.com/Testimony-Scott-Turow/dp/1455553549?tag=NYTBS-20,1,6.95,3.5,neg,-0.1333333333
"A fictional account of the Battle of Choisin Reservoir during the Korean War, where Americans battled Chinese forces and brutal temperatures.","['shaara', 'jeff', 'korea', 'historical', 'chosin', 'marines', 'marine', 'chinese', 'forgotten', 'military', 'general', 'cold', 'reservoir', 'battle', 'conflict', 'macarthur', 'men', 'army', 'american', 'soldiers']",THE FROZEN HOURS,611,"['Hardcover', '$16.84', '102', 'Used', 'from', '$5.88', '59', 'New', 'from', '$13.50', '2', 'Collectible', 'from', '$20.00', 'Paperback', '$16.84', '47', 'Used', 'from', '$6.96', '45', 'New', 'from', '$10.88', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$2.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-11,4.6 out of 5 s,https://www.amazon.com/Frozen-Hours-Novel-Korean-War/dp/0345549228?tag=NYTBS-20,1,16.84,4.6,neg,-0.2916666667
"A family battles over money in the final installment of the trilogy including ""Crazy Rich Asians"" and ""China Rich Girlfriend.""","['kwan', 'kevin', 'entertaining', 'third', 'funny', 'ending', 'summer', 'china', 'singapore', 'asian', 'girlfriend', 'nick', 'rachel', 'astrid', 'sad', 'beach', 'previous', 'drama', 'hilarious', 'enjoyable']",RICH PEOPLE PROBLEMS,642,"['Hardcover', '$19.56', '52', 'Used', 'from', '$13.98', '45', 'New', 'from', '$17.00', '1', 'Collectible', 'from', '$39.95', 'Paperback', '$10.17', '61', 'Used', 'from', '$9.00', '65', 'New', 'from', '$9.05', '1', 'Collectible', 'from', '$29.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-11,4.6 out of 5 s,https://www.amazon.com/Rich-People-Problems-Kevin-Kwan/dp/0385542232?tag=NYTBS-20,6,19.56,4.6,pos,0.0375
"King returns to Castle Rock, Me., in this novella set in 1974.","['king', 'stephen', 'novella', 'chizmar', 'richard', 'ending', 'castle', 'rock', 'horror', 'young', 'kept', 'page', 'tale', 'buttons', 'girl', 'entertaining', 'enjoyable', 'pages', 'authors', 'usual']",GWENDY'S BUTTON BOX,2410,"['Hardcover', '$16.48', '96', 'Used', 'from', '$4.68', '60', 'New', 'from', '$12.39', '9', 'Collectible', 'from', '$27.50', 'Paperback', '$8.24', '73', 'Used', 'from', '$4.14', '79', 'New', 'from', '$2.89', '1', 'Collectible', 'from', '$6.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$6.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-18,4.3 out of 5,https://www.amazon.com/Gwendys-Button-Box-Stephen-King/dp/1587676109?tag=NYTBS-20,3,16.48,4.3,,0
"Years after she was kidnapped, a woman returns to her family’s Montana ranch.","['nora', 'roberts', 'romance', 'alice', 'montana', 'suspense', 'mystery', 'bodine', 'ranch', 'kept', 'women', 'page', 'ending', 'storyline', 'finish', 'boring', 'horse', 'resort', 'dark', 'predictable']",COME SUNDOWN,2371,"['Hardcover', '$15.69', '246', 'Used', 'from', '$1.01', '72', 'New', 'from', '$5.99', '14', 'Collectible', 'from', '$7.00', 'Paperback', '$10.89', '138', 'Used', 'from', '$1.44', '65', 'New', 'from', '$6.80', '2', 'Collectible', 'from', '$5.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-09,4.4 out of 5,https://www.amazon.com/Come-Sundown-Nora-Roberts-ebook/dp/B01M4GE64D?tag=NYTBS-20,5,15.69,4.4,,0
The NUMA crew races the Russians and Chinese in a hunt for a missing American aircraft.,"['cussler', 'clive', 'adventure', 'kurt', 'action', 'usual', 'austin', 'joe', 'twists', 'exciting', 'page', 'kept', 'typical', 'edge', 'entertaining', 'seat', 'science', 'turns', 'ending', 'paced']",NIGHTHAWK,857,"['Hardcover', '$7.78', '185', 'Used', 'from', '$1.30', '62', 'New', 'from', '$7.17', '9', 'Collectible', 'from', '$7.95', 'Paperback', '$7.48', '120', 'Used', 'from', '$0.99', '61', 'New', 'from', '$3.47', '1', 'Collectible', 'from', '$2.66', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-18,4.6 out of 5 s,https://www.amazon.com/Nighthawk-NUMA-Files-Clive-Cussler-ebook/dp/B01M0I28M0?tag=NYTBS-20,3,7.78,4.6,neg,-0.0666666667
"The love of a mortal man for an immortal elf, which figures in “The Silmarillion” and is part of the back story of “Lord of the Rings.” Edited by Christopher Tolkien.","['tolkien', 'luthien', 'christopher', 'tale', 'father', 'hurin', 'silmarillion', 'earth', 'middle', 'lord', 'rings', 'lay', 'published', 'prose', 'versions', 'poetry', 'tales', 'hobbit', 'readers', 'lee']",BEREN AND LÚTHIEN,194,"['Hardcover', '$20.40', '69', 'Used', 'from', '$13.05', '55', 'New', 'from', '$15.26']",2017-06-18,4.1 out of 5 s,https://www.amazon.com/Beren-Lúthien-J-R-R-Tolkien/dp/1328791823?tag=NYTBS-20,2,20.4,4.1,pos,0.25
"Twenty years later, survivors probe the disappearance of two teenage girls from a religious camp.","['jackson', 'lisa', 'camp', 'missing', 'summer', 'present', 'mystery', 'counselors', 'twists', 'twenty', 'forth', 'happened', 'horseshoe', 'ending', 'lucas', 'secrets', 'finish', 'escaped', 'kept', 'copy']",YOU WILL PAY,192,"['Hardcover', '$12.95', '113', 'Used', 'from', '$0.25', '27', 'New', 'from', '$6.39', '1', 'Collectible', 'from', '$48.49', 'Paperback', '$12.84', '2', 'Used', 'from', '$10.78', '9', 'New', 'from', '$8.86', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-18,3.6 out of 5 s,https://www.amazon.com/You-Will-Pay-Lisa-Jackson/dp/1617734667?tag=NYTBS-20,1,12.95,3.6,,0
A search for stolen rare manuscripts leads to a Florida island.,"['grisham', 'john', 'ending', 'novels', 'usual', 'manuscripts', 'writer', 'page', 'kept', 'rare', 'beach', 'legal', 'summer', 'boring', 'enjoyable', 'twists', 'writers', 'suspense', 'disappointing', 'interest']",CAMINO ISLAND,7167,"['Hardcover', '$15.40', '378', 'Used', 'from', '$0.98', '115', 'New', 'from', '$5.00', '30', 'Collectible', 'from', '$6.22', 'Paperback', '$11.99', '114', 'Used', 'from', '$2.63', '66', 'New', 'from', '$6.85', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-08-06,3.9 out of 5,https://www.amazon.com/Camino-Island-Novel-John-Grisham-ebook/dp/B01N2ABE60?tag=NYTBS-20,23,15.4,3.9,pos,0.3
How John and Elizabeth Baxter fell in love.,"['karen', 'baxter', 'kingsbury', 'john', 'god', 'elizabeth', 'baxters', 'cody', 'beginning', 'andi', 'heart', 'lives', 'cole', 'faith', 'bailey', 'write', 'sweet', 'brought', 'previous', 'inspiring']",LOVE STORY,548,"['Hardcover', '$6.25', '128', 'Used', 'from', '$1.49', '78', 'New', 'from', '$6.25', '1', 'Collectible', 'from', '$15.00', 'Paperback', '$12.78', '70', 'Used', 'from', '$2.39', '66', 'New', 'from', '$7.73', '1', 'Collectible', 'from', '$8.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-25,4.8 out of 5 s,https://www.amazon.com/Love-Story-Novel-Baxter-Family/dp/1451687591?tag=NYTBS-20,1,6.25,4.8,pos,0.5
A sprawling novel of modern India by the author of “The God of Small Things.”,"['india', 'roy', 'kashmir', 'god', 'political', 'arundhati', 'follow', 'indian', 'confusing', 'anjum', 'disjointed', 'narrative', 'politics', 'fiction', 'complex', 'lives', 'places', 'tilo', 'pages', 'names']",THE MINISTRY OF UTMOST HAPPINESS,388,"['Hardcover', '$12.14', '143', 'Used', 'from', '$1.99', '78', 'New', 'from', '$6.00', '19', 'Collectible', 'from', '$14.99', 'Paperback', '$14.04', '62', 'Used', 'from', '$6.41', '64', 'New', 'from', '$9.55', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-09,3.2 out of 5 s,https://www.amazon.com/Ministry-Utmost-Happiness-novel/dp/1524733156?tag=NYTBS-20,4,12.14,3.2,neg,-0.025
Rekindling a romance with an old girlfriend who is now secretary of state exposes the New York lawyer Stone Barrington to unwanted attention.,"['woods', 'stuart', 'holly', 'usual', 'novels', 'entertaining', 'political', 'dino', 'ending', 'interest', 'women', 'adventure', 'action', 'exciting', 'politics', 'secretary', 'state', 'page', 'ended', 'follow']",INDECENT EXPOSURE,374,"['Hardcover', '$14.03', '127', 'Used', 'from', '$3.00', '48', 'New', 'from', '$5.99', '8', 'Collectible', 'from', '$5.95', 'Paperback', '$7.56', '95', 'Used', 'from', '$1.75', '55', 'New', 'from', '$3.12', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-25,4.0 out of 5 s,https://www.amazon.com/Indecent-Exposure-Stone-Barrington-Novel-ebook/dp/B01N1LZJGS?tag=NYTBS-20,1,14.03,4,pos,0.1181818182
A novel within a novel pays homage to and updates Agatha Christie-style mysteries.,"['mystery', 'mysteries', 'horowitz', 'murder', 'clever', 'agatha', 'christie', 'editor', 'detective', 'anthony', 'atticus', 'susan', 'pages', 'conway', 'alan', 'english', 'missing', 'manuscript', 'pund', 'british']",MAGPIE MURDERS,1044,"['Hardcover', '$12.62', '143', 'Used', 'from', '$2.65', '71', 'New', 'from', '$10.00', '9', 'Collectible', 'from', '$16.90', 'Paperback', '$11.49', '71', 'Used', 'from', '$2.76', '38', 'New', 'from', '$7.40', '2', 'Collectible', 'from', '$8.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-06-25,4.1 out of 5,https://www.amazon.com/Magpie-Murders-Novel-Anthony-Horowitz/dp/0062645226?tag=NYTBS-20,5,12.62,4.1,,0
"An F.B.I. agent investigates an alarming surge in suicides, including her husband's. The first in a new series.","['koontz', 'dean', 'fbi', 'ending', 'action', 'heroine', 'agent', 'page', 'suicide', 'thriller', 'evil', 'scary', 'sequel', 'leave', 'odd', 'kept', 'stop', 'novels', 'technology', 'main']",THE SILENT CORNER,1682,"[ 'Hardcover', '$19.60', '120', 'Used', 'from', '$1.93', '55', 'New', 'from', '$11.46', '5', 'Collectible', 'from', '$10.95']",2017-08-06,4.3 out of 5,https://www.amazon.com/Silent-Corner-Novel-Suspense-ebook/dp/B01LY7FAHO?tag=NYTBS-20,5,19.6,4.3,pos,0.0954545455
Complications in the lives of identical twins who were raised separately by divorced parents on Nantucket and Martha’s Vineyard.,"['elin', 'summer', 'hilderbrand', 'nantucket', 'vineyard', 'beach', 'martha', 'twins', 'islands', 'identical', 'twin', 'sisters', 'predictable', 'harper', 'tabitha', 'ending', 'enjoyable', 'lives', 'hildebrand', 'places']",THE IDENTICALS,1430,"['Hardcover', '$16.24', '197', 'Used', 'from', '$1.01', '56', 'New', 'from', '$8.50', '5', 'Collectible', 'from', '$5.00', 'Paperback', '$9.34', '140', 'Used', 'from', '$1.08', '60', 'New', 'from', '$6.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-08-06,4.4 out of 5,https://www.amazon.com/Identicals-Novel-Elin-Hilderbrand-ebook/dp/B01LZP2AA3?tag=NYTBS-20,8,16.24,4.4,,0
"Emerson Knight, an eccentric millionaire, and Riley Moon, a financial analyst, search for a missing island.","['evanovich', 'janet', 'plum', 'stephanie', 'riley', 'funny', 'emerson', 'humor', 'vernon', 'adventure', 'monk', 'laugh', 'entertaining', 'island', 'quirky', 'enjoyable', 'national', 'loud', 'action', 'finish']",DANGEROUS MINDS,548,"['Hardcover', '$14.00', '158', 'Used', 'from', '$1.01', '14', 'New', 'from', '$9.89', '7', 'Collectible', 'from', '$8.98', 'Paperback', '$18.51', '58', 'Used', 'from', '$6.23', '47', 'New', 'from', '$18.49', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-09,4.0 out of 5 s,https://www.amazon.com/Dangerous-Minds-Knight-Moon-Novel-ebook/dp/B01K3EKRBY?tag=NYTBS-20,3,14,4,neg,-0.0666666667
Jack Ryan Jr. helps thwart a global financial crisis. (Tom Clancy died in 2013.),"['action', 'maden', 'mike', 'novels', 'campus', 'singapore', 'exciting', 'junior', 'ending', 'writer', 'previous', 'thriller', 'pages', 'authors', 'future', 'slow', 'team', 'paul', 'detail', 'north']",TOM CLANCY: POINT OF CONTACT,606,"['Hardcover', '$10.33', '183', 'Used', 'from', '$1.55', '83', 'New', 'from', '$4.94', '2', 'Collectible', 'from', '$9.99', 'Paperback', '$6.98', '115', 'Used', 'from', '$0.99', '37', 'New', 'from', '$2.70', '1', 'Collectible', 'from', '$3.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$1.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-08-06,4.0 out of 5 s,https://www.amazon.com/Clancy-Point-Contact-Jack-Novel/dp/0735215863?tag=NYTBS-20,6,10.33,4,,0
"Extended Italian-American families work, feud and fall in love in the Philadelphia area in 1949.","['trigiani', 'adriana', 'italian', 'nicky', 'philly', 'south', 'philadelphia', 'italy', 'families', 'theater', 'shakespeare', 'novels', 'company', 'cab', 'roseto', 'setting', 'brothers', 'enjoyable', 'pages', 'lives']",KISS CARLO,514,"['Hardcover', '$13.89', '157', 'Used', 'from', '$1.04', '67', 'New', 'from', '$7.00', '5', 'Collectible', 'from', '$7.50', 'Paperback', '$11.96', '19', 'Used', 'from', '$5.24', '30', 'New', 'from', '$9.48', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-09,4.0 out of 5 s,https://www.amazon.com/Kiss-Carlo-Novel-Adriana-Trigiani/dp/0062319221?tag=NYTBS-20,4,13.89,4,pos,0.5
"A detective sergeant and his crew in Manhattan North deal with gangs, drugs and guns, and steal millions of dollars while they're at it.","['winslow', 'cop', 'police', 'malone', 'city', 'cartel', 'cops', 'york', 'corruption', 'denny', 'crime', 'gritty', 'drug', 'dirty', 'nypd', 'corrupt', 'novels', 'main', 'nyc', 'drugs']",THE FORCE,743,"['Hardcover', '$15.01', '240', 'Used', 'from', '$0.99', '75', 'New', 'from', '$7.87', '10', 'Collectible', 'from', '$10.00', 'Paperback', '$11.47', '100', 'Used', 'from', '$1.70', '75', 'New', 'from', '$5.05', '1', 'Collectible', 'from', '$8.91', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$6.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-09,4.0 out of 5 s,https://www.amazon.com/Force-Novel-Don-Winslow-ebook/dp/B01M1549OD?tag=NYTBS-20,5,15.01,4,,0
A woman who has rented out her South Carolina beach house for the summer winds up sharing it with her tenant when is faced with a tragedy.,"['monroe', 'alice', 'mary', 'cara', 'summer', 'heather', 'birds', 'women', 'turtles', 'isle', 'palms', 'anxiety', 'shore', 'cottage', 'low', 'country', 'lives', 'sea', 'loss', 'lowcountry']",BEACH HOUSE FOR RENT,528,"['Hardcover', '$9.24', '107', 'Used', 'from', '$1.95', '66', 'New', 'from', '$3.80', '1', 'Collectible', 'from', '$9.24', 'Paperback', '$13.23', '70', 'Used', 'from', '$3.78', '53', 'New', 'from', '$8.41', '1', 'Collectible', 'from', '$8.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-09,4.7 out of 5 s,https://www.amazon.com/Beach-House-Rent-Book-ebook/dp/B01MPZHKJ5?tag=NYTBS-20,1,9.24,4.7,,0
An expert on serial murder becomes involved in the hunt for a New York City killer.,"['patterson', 'james', 'kept', 'twists', 'killer', 'page', 'turns', 'mystery', 'dylan', 'main', 'suspense', 'elizabeth', 'serial', 'gay', 'guessing', 'roughan', 'turner', 'thriller', 'professor', 'detective']",MURDER GAMES,703,"['Hardcover', '$11.95', '241', 'Used', 'from', '$1.01', '81', 'New', 'from', '$7.30', '12', 'Collectible', 'from', '$2.99', 'Paperback', '$10.87', '151', 'Used', 'from', '$1.11', '59', 'New', 'from', '$6.50', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-08-06,4.4 out of 5 s,https://www.amazon.com/Murder-Games-James-Patterson-ebook/dp/B01M0CDHMG?tag=NYTBS-20,6,11.95,4.4,pos,0.1363636364
The counterterrorism operative Scot Harvath is called in when a missing terrorism suspect drowns off the Italian coast.,"['thor', 'brad', 'action', 'scott', 'ending', 'page', 'exciting', 'paced', 'adventure', 'usual', 'novels', 'suspense', 'horvath', 'today', 'current', 'kept', 'terrorist', 'previous', 'disappoint', 'pages']",USE OF FORCE,1425,"['Hardcover', '$11.84', '217', 'Used', 'from', '$1.01', '145', 'New', 'from', '$3.99', '14', 'Collectible', 'from', '$6.00', 'Paperback', '$10.19', '34', 'Used', 'from', '$10.64', '45', 'New', 'from', '$5.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-08-06,4.5 out of 5,https://www.amazon.com/Use-Force-Thriller-Scot-Harvath-ebook/dp/B01M2BRLHB?tag=NYTBS-20,5,11.84,4.5,neg,-0.1
"A 19th-century British duke's daughter, disinherited by her half brothers, flees to Paris to make a new life.","['danielle', 'steel', 'steele', 'ending', 'predictable', 'novels', 'angelique', 'page', 'kept', 'woman', 'beginning', 'women', 'twists', 'young', 'historical', 'girl', 'period', 'main', 'interest', 'romance']",THE DUCHESS,864,"['Hardcover', '$10.65', '124', 'Used', 'from', '$1.26', '30', 'New', 'from', '$10.62', '5', 'Collectible', 'from', '$7.70', 'Paperback', '$21.08', '23', 'Used', 'from', '$2.48', '20', 'New', 'from', '$16.09', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-08-06,4.6 out of 5 s,https://www.amazon.com/Duchess-Novel-Danielle-Steel/dp/0345531086?tag=NYTBS-20,1,10.65,4.6,neg,-0.0101010101
A collection of Outlander short fiction.,"['diana', 'gabaldon', 'john', 'lord', 'novellas', 'jamie', 'hal', 'minnie', 'published', 'claire', 'waiting', 'previously', 'novels', 'grey', 'main', 'writes', 'fugitive', 'green', 'fill', 'fans']",SEVEN STONES TO STAND OR FALL,667,"['Hardcover', '$15.59', '72', 'Used', 'from', '$7.25', '83', 'New', 'from', '$15.38', '1', 'Collectible', 'from', '$95.00', 'Paperback', '$12.86', '38', 'Used', 'from', '$12.00', '59', 'New', 'from', '$12.11', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$13.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-16,4.6 out of 5 s,https://www.amazon.com/Seven-Stones-Stand-Fall-Collection/dp/039959342X?tag=NYTBS-20,3,15.59,4.6,,0
An F.B.I. agent recruits an idealistic (and beautiful) hacker to help him find a leaker.,"['garwood', 'julie', 'liam', 'allison', 'romance', 'suspense', 'agent', 'computer', 'main', 'hacker', 'heroine', 'uncle', 'aunt', 'hero', 'finished', 'previous', 'humor', 'scott', 'jordan', 'romantic']",WIRED,758,"['Hardcover', '$18.83', '168', 'Used', 'from', '$1.32', '63', 'New', 'from', '$6.50', '2', 'Collectible', 'from', '$6.89', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App', 'Mass', 'Market', 'Paperback', '$5.98', '88', 'Used', '$1.36', '56', 'New', '$4.49']",2017-07-23,4.2 out of 5 s,https://www.amazon.com/Wired-Buchanan-Fbi-Julie-Garwood/dp/0525954465?tag=NYTBS-20,0,18.83,4.2,pos,0.85
"Gabriel Allon, the Israeli art restorer and spy, now the head of Israel’s secret intelligence service, pursues an ISIS mastermind.","['silva', 'daniel', 'novels', 'spy', 'usual', 'previous', 'action', 'silvia', 'page', 'current', 'exciting', 'thriller', 'widow', 'keller', 'events', 'disappoint', 'today', 'suspense', 'terrorist', 'chief']",HOUSE OF SPIES,3375,"['Hardcover', '$17.07', '222', 'Used', 'from', '$1.01', '72', 'New', 'from', '$9.80', '15', 'Collectible', 'from', '$7.15', 'Paperback', '$11.55', '86', 'Used', 'from', '$2.99', '65', 'New', 'from', '$6.12', '2', 'Collectible', 'from', '$25.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-08-06,4.6 out of 5,https://www.amazon.com/House-Spies-Novel-Gabriel-Allon/dp/0062354345?tag=NYTBS-20,6,17.07,4.6,neg,-0.4
"Sunday Night, the heroine of a new series from the creator of Temperance Brennan, searches for a girl who may have been kidnapped by a cult.","['reichs', 'kathy', 'sunday', 'brennan', 'temperance', 'girl', 'sunnie', 'missing', 'brother', 'main', 'gus', 'netgalley', 'bones', 'mystery', 'island', 'copy', 'granddaughter', 'action', 'woman', 'novels']",TWO NIGHTS,617,"['Hardcover', '$25.80', '100', 'Used', 'from', '$1.01', '12', 'New', 'from', '$9.98', '3', 'Collectible', 'from', '$4.98', 'Paperback', '$30.00', '14', 'Used', 'from', '$5.70', '4', 'New', 'from', '$26.00']",2017-07-30,4.1 out of 5 s,https://www.amazon.com/Two-Nights-Novel-Kathy-Reichs/dp/0345544072?tag=NYTBS-20,1,25.8,4.1,pos,0.1363636364
Sisters reconnect when one returns to their tulip-centered hometown.,"['susan', 'mallery', 'kelly', 'olivia', 'sister', 'helen', 'summer', 'romance', 'relationships', 'mother', 'town', 'relationship', 'father', 'lives', 'griffith', 'sex', 'copy', 'jeff', 'murphy', 'women']",SECRETS OF THE TULIP SISTERS,463,"['Hardcover', '$15.49', '155', 'Used', 'from', '$1.50', '61', 'New', 'from', '$8.44', '3', 'Collectible', 'from', '$4.97', 'Paperback', '$10.71', '117', 'Used', 'from', '$1.06', '53', 'New', 'from', '$5.91', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-07-30,4.4 out of 5 s,https://www.amazon.com/Secrets-Tulip-Sisters-Perfect-Summer/dp/0373802765?tag=NYTBS-20,1,15.49,4.4,,0
